name,kana,category_code
和食,わしょく,washoku
日本料理,にほんりょうり,japanese
懐石・会席料理,かいせき・かいせきりょうり,RC010101
割烹・小料理,かっぽう・こりょうり,RC010103
精進料理,しょうじんりょうり,RC010105
京料理,きょうりょうり,RC010104
寿司,すし,sushi
回転寿司,かいてんずし,RC010202
立ち食い寿司,たちぐいすし,RC010203
魚介料理・海鮮料理,ぎょかいりょうり・かいせんりょうり,seafood
ふぐ,ふぐ,RC011212
かに,かに,RC011213
すっぽん,すっぽん,RC011214
あんこう,あんこう,RC011215
天ぷら・揚げ物,てんぷら・あげもの,RC0103
天ぷら,てんぷら,tempura
とんかつ,とんかつ,tonkatsu
串揚げ・串かつ,くしあげ・くしかつ,kushiage
からあげ,からあげ,RC010304
天ぷら・揚げ物（その他）,てんぷら・あげもの（そのほか）,RC010399
そば・うどん・麺類,そば・うどん・めんるい,RC0104
そば,そば,soba
立ち食いそば,たちぐいそば,RC010408
うどん,うどん,udon
カレーうどん,かれーうどん,RC010407
焼きそば,やきそば,RC010406
沖縄そば,おきなわそば,RC010404
ほうとう,ほうとう,RC010403
ちゃんぽん,ちゃんぽん,RC010405
そば・うどん・麺類（その他）,そば・うどん・めんるい（そのほか）,RC010499
うなぎ・どじょう・あなご,うなぎ・どじょう・あなご,RC0105
うなぎ,うなぎ,unagi
どじょう,どじょう,RC010502
あなご,あなご,RC010503
焼鳥・串焼・鳥料理,やきとり・くしやき・とりりょうり,RC0106
焼鳥,やきとり,yakitori
串焼き,くしやき,RC010602
もつ焼き,もつやき,RC010604
焼きとん,やきとん,RC010605
鳥料理,とりりょうり,RC010603
手羽先,てばさき,RC010606
すき焼き・しゃぶしゃぶ,すきやき・しゃぶしゃぶ,RC0107
すき焼き,すきやき,RC010701
しゃぶしゃぶ,しゃぶしゃぶ,syabusyabu
豚しゃぶ,ぶたしゃぶ,RC010703
おでん,おでん,RC0108
お好み焼き・たこ焼き,おこのみやき・たこやき,RC0109
お好み焼き,おこのみやき,okonomiyaki
もんじゃ焼き,もんじゃやき,monjya
たこ焼き,たこやき,RC010911
明石焼き,あかしやきき,RC010912
お好み焼き・たこ焼き（その他）,おこのみやき・たこやき（そのほか）,RC010999
郷土料理,きょうどりょうり,RC0110
沖縄料理,おきなわりょうり,okinawafood
きりたんぽ,きりたんぽ,RC011002
郷土料理（その他）,きょうどりょうり（そのほか）,RC011099
丼もの,どんぶりもの,RC0111
牛丼,ぎゅうどん,RC011101
親子丼,おやこどん,RC011102
天丼・天重,てんどん・てんじゅう,RC011103
かつ丼・かつ重,かつどんぶり・かつじゅう,RC011104
海鮮丼,かいせんどんぶり,RC011105
豚丼,ぶたどん,RC011106
丼もの（その他）,どんぶりもの（そのほか）,RC011199
和食（その他）,わしょく（そのほか）,RC0199
豆腐料理・湯葉料理,とうふりょうり・ゆばりょうり,RC019910
麦とろ,むぎとろ,RC019908
釜飯,かまめし,RC019909
もつ料理,もつりょうり,RC019912
くじら料理,くじらりょうり,RC019911
牛タン,ぎゅうたん,RC019907
ろばた焼き,ろばたやき,RC019903
洋食・西洋料理,ようしょく・せいようりょうり,RC02
ステーキ・ハンバーグ,すてーき・はんばーぐ,RC0201
ステーキ,すてーき,steak
ハンバーグ,はんばーぐ,hamburgersteak
鉄板焼き,てっぱんやきき,RC0203
パスタ・ピザ,ぱすた・ぴざ,RC0202
パスタ,ぱすた,pasta
ピザ,ぴざ,pizza
ハンバーガー,はんばーがー,hamburger
洋食・欧風料理,ようしょく・おうふうりょうり,RC0209
洋食,ようしょく,yoshoku
ハヤシライス,はやしらいす,RC020911
オムライス,おむらいす,RC020912
シチュー,しちゅー,RC020913
スープ,すーぷ,RC020914
コロッケ・フライ,ころっけ・ふらい,RC020915
洋食・欧風料理（その他）,ようしょく・おうふうりょうり（そのほか）,RC020999
フレンチ,ふれんち,french
ビストロ,びすとろ,RC021102
モダンフレンチ,もだんふれんち,RC021103
イタリアン,いたりあん,italian
スペイン料理,すぺいんりょうり,spain
モダンスパニッシュ,もだんすぱにっしゅ,RC021302
西洋各国料理,せいようかっこくりょうり,RC0219
地中海料理,ちちゅうかいりょうり,RC021902
ドイツ料理,どいつりょうり,RC021903
ロシア料理,ろしありょうり,RC021904
アメリカ料理,あめりかりょうり,RC021905
カリフォルニア料理,かりふぉるにありょうり,RC021906
オセアニア料理,おせあにありょうり,RC021907
ハワイ料理,はわいりょうり,RC021908
西洋各国料理（その他）,せいようかっこくりょうり（そのほか）,RC021999
中華料理,ちゅうかりょうり,chinese
飲茶・点心,やむちゃ・てんしん,RC030102
北京料理,ぺきんりょうり,RC030103
上海料理,しゃんはいりょうり,RC030104
広東料理,かんとんりょうり,RC030105
四川料理,しせんりょうり,RC030106
台湾料理,たいわんりょうり,RC030107
餃子・肉まん,ぎょうざ・にくまん,RC0302
餃子,ぎょうざ,gyouza
肉まん・中華まん,にくまん・ちゅうかまん,RC030202
中華粥,ちゅうかかゆ,RC0303
中華麺,ちゅうかめん,RC0304
担々麺,たんたんめん,RC030401
刀削麺,かたなさくめん,RC030402
中華麺（その他）,ちゅうかめん（そのほか）,RC030403
アジア・エスニック,あじあ・えすにっく,RC04
韓国料理,かんこくりょうり,korea
冷麺,れいめん,RC040102
東南アジア料理,とうなんあじありょうり,RC0402
タイ料理,たいりょうり,thai
ベトナム料理,べとなむりょうり,RC040202
インドネシア料理,いんどねしありょうり,RC040203
シンガポール料理,しんがぽーるりょうり,RC040204
東南アジア料理（その他）,とうなんあじありょうり（そのほか）,RC040299
南アジア料理,みなみあじありょうり,RC0403
インド料理,いんどりょうり,RC040301
ネパール料理,ねぱーるりょうり,RC040302
パキスタン料理,ぱきすたんりょうり,RC040303
スリランカ料理,すりらんかりょうり,RC040304
南アジア料理（その他）,みなみあじありょうり（そのほか）,RC040399
西アジア料理,にしあじありょうり,RC0404
トルコ料理,とるこりょうり,RC040401
西アジア料理（その他）,にしあじありょうり（そのほか）,RC040499
中南米料理,ちゅうなんべいりょうり,RC0411
メキシコ料理,めきしこりょうり,RC041101
ブラジル料理,ぶらじるりょうり,RC041102
中南米料理（その他）,ちゅうなんべいりょうり（そのほか）,RC041199
アフリカ料理,あふりかりょうり,RC0412
アジア・エスニック（その他）,あじあ・えすにっく（そのほか）,RC0499
カレー,かれー,curry
カレーライス,かれーらいす,RC1201
欧風カレー,おうふうかれー,RC1202
インドカレー,いんどかれー,RC1203
タイカレー,たいかれー,RC1204
スープカレー,すーぷかれー,RC1205
カレー（その他）,かれー（そのほか）,RC1299
焼肉・ホルモン,やきにく・ほるもん,RC13
焼肉,やきにく,yakiniku
ホルモン,ほるもん,horumon
ジンギスカン,じんぎすかん,RC1302
鍋,なべ,nabe
ちゃんこ鍋,ちゃんこなべ,RC1401
うどんすき,うどんすき,RC1402
もつ鍋,もつなべ,motsu
水炊き,みずたき,RC1404
ちりとり鍋・てっちゃん鍋,ちりとりなべ・てっちゃんなべ,RC1405
中国鍋・火鍋,ちゅうごくなべ・ひなべ,RC1406
韓国鍋,かんこくなべ,RC1407
タイスキ,たいすき,RC1409
鍋（その他）,なべ（そのほか）,RC1408
居酒屋・ダイニングバー,いざかや・だいにんぐばー,RC21
居酒屋,いざかや,izakaya
ダイニングバー,だいにんぐばー,RC2102
居酒屋・ダイニングバー（その他）,いざかや・だいにんぐばー（そのほか）,RC2199
立ち飲み居酒屋・バー,たちのみいざかや・ばー,RC219902
バル・バール,ばる・ばーる,RC219903
ビアホール・ビアレストラン,びあほーる・びあれすとらん,RC219904
創作料理・無国籍料理,そうさくりょうり・むこくせきりょうり,RC22
創作料理,そうさくりょうり,RC2201
イノベーティブ・フュージョン,いのべーてぃぶ・ふゅーじょん,RC2202
無国籍料理,むこくせきりょうり,RC2203
ファミレス,ふぁみれす,RC23
レストラン（その他）,れすとらん（そのほか）,RC99
定食・食堂,ていしょく・しょくどう,RC9901
学生食堂,がくせいしょくどう,RC990102
社員食堂,しゃいんしょくどう,RC990103
自然食・薬膳,しぜんしょく・やくぜん,RC9903
自然食,しぜんしょく,RC990301
薬膳,やくぜん,RC990302
弁当・おにぎり,べんとう・おにぎり,RC9904
弁当,べんとう,RC990401
おにぎり,おにぎり,RC990402
バイキング,ばいきんぐ,viking
デリカテッセン,でりかてっせん,RC999903
シーフード,しーふーど,RC999901
オイスターバー,おいすたーばー,RC999913
にんにく料理,にんにくりょうり,RC999902
野菜料理,やさいりょうり,RC999905
牛料理,うしりょうり,RC999907
豚料理,ぶたりょうり,RC999908
馬肉料理,ばにくりょうり,RC999909
炭火焼き,すみびやき,RC999910
バーベキュー,ばーべきゅー,RC999911
その他肉料理,そのほかにくりょうり,RC999912
屋形船・クルージング,やかたぶね・くるーじんぐ,RC999914
ラーメン,らーめん,ramen
汁なしラーメン,しるなしらーめん,MC21
油そば,あぶらそば,MC2101
台湾まぜそば,たいわんまぜそば,MC2102
汁なし担々麺,しるなしたんたんめん,MC2103
つけ麺,つけめん,MC11
カフェ,かふぇ,CC01
喫茶店,きっさてん,CC02
コーヒー専門店,こーひーせんもんてん,CC03
紅茶専門店,こうちゃせんもんてん,CC04
中国茶専門店,ちゅうごくちゃせんもんてん,CC05
日本茶専門店,にほんちゃせんもんてん,CC06
カフェ・喫茶（その他）,かふぇ・きっさ（そのほか）,CC99
パン・サンドイッチ,ぱん・さんどいっち,pan
パン,ぱん,SC0101
サンドイッチ,さんどいっち,SC0102
ベーグル,べーぐる,SC0103
パン・サンドイッチ（その他）,ぱん・さんどいっち（そのほか）,SC0199
スイーツ,すいーつ,sweets
洋菓子,ようがし,SC0201
ケーキ,けーき,cake
チョコレート,ちょこれーと,SC020102
マカロン,まかろん,SC020103
バームクーヘン,ばーむくーへん,SC020104
洋菓子（その他）,ようがし（そのほか）,SC020199
和菓子・甘味処,わがし・あまみところ,SC0202
和菓子,わがし,SC020201
甘味処,あまみところ,SC020202
たい焼き・大判焼き,たいやき・おおばんやきき,SC020203
どら焼き,どらやき,SC020204
大福,だいふく,SC020205
せんべい,せんべい,SC020206
中華菓子,ちゅうかがし,SC0203
スイーツ（その他）,すいーつ（そのほか）,SC0299
アイスクリーム,あいすくりーむ,SC029901
ソフトクリーム,そふとくりーむ,SC029909
かき氷,かきこおり,SC029907
クレープ,くれーぷ,SC029903
パフェ,ぱふぇ,SC029904
フルーツパーラー,ふるーつぱーらー,SC029902
ジュースバー,じゅーすばー,SC029905
パンケーキ,ぱんけーき,SC029906
ドーナツ,どーなつ,SC029908
フレンチトースト,ふれんちとーすと,SC029910
アサイーボウル,あさいーぼうる,SC029911
バー,ばー,BC01
パブ,ぱぶ,BC02
ラウンジ,らうんじ,BC03
ワインバー,わいんばー,BC04
ビアガーデン,びあがーでん,BC05
ビアバー,びあばー,BC06
スポーツバー,すぽーつばー,BC07
バー・お酒（その他）,ばー・おさけ（そのほか）,BC99
日本酒バー・焼酎バー,にほんしゅばー・しょうちゅうばー,BC9901
日本酒バー,にほんしゅばー,BC990101
焼酎バー,しょうちゅうばー,BC990102
旅館,りょかん,ryokan
オーベルジュ,おーべるじゅ,YC02
旅館・オーベルジュ（その他）,りょかん・おーべるじゅ（そのほか）,YC99
その他,そのほか,ZZ
